Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
196,NCT01476163,Physician Initiated Expanded Access Request for Migalastat in Individual Patients With Fabry Disease,,Available,No Results Available,Fabry Disease,Drug: migalastat HCl,,Amicus Therapeutics,All,"16 Years to 74 Years   (Child, Adult, Older Adult)",,null,Industry,Expanded Access,,AT1001-188,null,null,null,22-Nov-11,null,3-May-18,"CHOC Children's Hospital Division of Metabolic Disease, Orange, California, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Kidney Care and Transplant Services of New England, Springfield, Massachusetts, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Royal Melbourne Hospital, Parkville, Victoria, Australia",,https://ClinicalTrials.gov/show/NCT01476163
197,NCT01464762,Early Access of TMC207 in Patients With Extensively Drug Resistant or Pre-XDR Pulmonary Tuberculosis,,Approved for marketing,No Results Available,Tuberculosis,Drug: TMC207,,Janssen Infectious Diseases BVBA,All,"18 Years to 99 Years   (Adult, Older Adult)",,null,Industry,Expanded Access,,CR017233|TMC207TBC3001|2010-021125-12,null,null,null,4-Nov-11,null,27-Nov-17,"Vilnius, Lithuania|Arkhangelsk, Russian Federation|Moscow, Russian Federation|Orel, Russian Federation|Saint-Petersburg, Russian Federation",,https://ClinicalTrials.gov/show/NCT01464762
198,NCT01461304,Compassionate Use of Triheptanoin (C7) for Inherited Disorders of Energy Metabolism,,Available,No Results Available,"Very Long-chain acylCoA Dehydrogenase (VLCAD) Deficiency|Carnitine Palmitoyltransferase Deficiencies (CPT1, CPT2)|Mitochondrial Trifunctional Protein Deficiency|Long-chain Hydroxyacyl-CoA Dehydrogenase Deficiency|Glycogen Storage Disorders|Pyruvate Carboxylase Deficiency Disease|ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 9, DEFICIENCY of|Barth Syndrome",Drug: triheptanoin,,"Gerard Vockley, MD, PhD|Ultragenyx Pharmaceutical Inc|University of Pittsburgh",All,"1 Month and older   (Child, Adult, Older Adult)",,null,Other|Industry,Expanded Access,,PRO08020019,null,null,null,28-Oct-11,null,3-May-18,"University of Pittsburgh Division of Medical Genetics, Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT01461304
199,NCT01432301,Uridine Triacetate as Antidote for Patients at Excess Risk of 5-FU Toxicity Due to Overdosage or Impaired Elimination,,Approved for marketing,No Results Available,Toxicity Due to Chemotherapy,Drug: uridine triacetate,,Wellstat Therapeutics,All,"Child, Adult, Older Adult",,null,Industry,Expanded Access,,401.10.001,null,null,null,12-Sep-11,null,7-Mar-16,,,https://ClinicalTrials.gov/show/NCT01432301
200,NCT01410500,Carfilzomib Multiple Myeloma Expanded Access Protocol for Patients With Relapsed and Refractory Disease,,Approved for marketing,No Results Available,Multiple Myeloma,Drug: Carfilzomib,,Amgen|Multiple Myeloma Research Foundation,All,"18 Years and older   (Adult, Older Adult)",,null,Industry|Other,Expanded Access,,2011-002,null,null,null,5-Aug-11,null,2-May-17,,,https://ClinicalTrials.gov/show/NCT01410500
201,NCT01381289,VX-770 Expanded Access Program,,Approved for marketing,No Results Available,Cystic Fibrosis,Drug: VX-770,,Vertex Pharmaceuticals Incorporated,All,"6 Years and older   (Child, Adult, Older Adult)",,null,Industry,Expanded Access,,VX11-770-901,null,null,null,27-Jun-11,null,9-Feb-12,,,https://ClinicalTrials.gov/show/NCT01381289
202,NCT01377532,Compassionate Use of 131I-MIBG for Patients With Malignant Pheochromocytoma,,Available,No Results Available,Pheochromocytoma|Paraganglioma,Drug: 131 I-Metaiodobenzylguanidine (131 I-MIBG),,"University of California, San Francisco",All,"2 Years and older   (Child, Adult, Older Adult)",,null,Other,Expanded Access,,CompUse MIBG Pheo,null,null,null,21-Jun-11,null,13-Dec-17,"UCSF, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT01377532
203,NCT01370330,131I-Labeled MIBG for Refractory Neuroblastoma: A Compassionate Use Protocol,,Available,No Results Available,Neuroblastoma,Drug: Metaiodobenzylguanidine (MIBG),,"University of California, San Francisco",All,"1 Year and older   (Child, Adult, Older Adult)",,null,Other,Expanded Access,,CompUse MIBG,null,null,null,9-Jun-11,null,9-Nov-17,"University of California, San Francisco, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT01370330
204,NCT01327742,Phase II Clinical Study of the Safety and Efficacy of the Relay Thoracic Stent-Graft,,Approved for marketing,No Results Available,Thoracic Aortic Aneurysm|Penetrating Ulcers,Device: Relay Thoracic Stent-Graft,,Bolton Medical,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,IP-0004-06 rev I,null,null,null,4-Apr-11,null,19-Nov-12,"Arizona Heart Hospital, Phoenix, Arizona, United States|Washington Hospital Center, Washington, District of Columbia, United States|University of Florida, Gainesville, Florida, United States|Baptist Cardiac and Vascular Institute, Miami, Florida, United States|Indiana Heart Hospital, Indianapolis, Indiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|University of North Carolina, Chapel Hill, North Carolina, United States|East Carolina University, Greenville, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Sentara Heart Hospital, Norfolk, Virginia, United States|University Washington, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT01327742
205,NCT01317953,Oral Green Tea Extract for Small Cell Lung Cancer,,Available,No Results Available,Small Cell Lung Carcinoma,Dietary Supplement: epigallocatechin gallate,,Shandong Cancer Hospital and Institute,All,"18 Years to 70 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,GTESCLC2011,null,null,null,18-Mar-11,null,15-Mar-18,"Shan Dong cancer hospital and institute, Jinan, Shandong, China",,https://ClinicalTrials.gov/show/NCT01317953
206,NCT01301664,Cartilage Tissue Engineering,,Available,No Results Available,Mesenchymal Stem Cells,Other: total knee / hip replacement,,Chin-Hung Chang|Far Eastern Memorial Hospital,All,"30 Years to 70 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,97022,null,null,null,23-Feb-11,null,7-Mar-13,,,https://ClinicalTrials.gov/show/NCT01301664
207,NCT01297933,Compassionate Use of Omegaven for Pediatric Patients With Parenteral Nutrition Associated Liver Disease,Omegaven,Available,No Results Available,Cholestasis|Short Bowel Syndrome,Drug: Omegaven,,Children's Hospital of Philadelphia,All,"up to 21 Years   (Child, Adult)",,null,Other,Expanded Access,,10-007681,null,null,null,17-Feb-11,null,3-May-18,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT01297933
208,NCT01277796,Pilot Study Using a Heat Pack to Treat Cutaneous Leishmaniasis,HECT,Available,No Results Available,Cutaneous Leishmaniasis,Device: Heat pack conduction-heat therapy,,Universidad Peruana Cayetano Heredia|Tulane University School of Medicine,All,"8 Years to 80 Years   (Child, Adult, Older Adult)",,null,Other,Expanded Access,,032-08,null,null,null,17-Jan-11,null,17-Jan-11,,,https://ClinicalTrials.gov/show/NCT01277796
209,NCT01267461,Evaluation of the Proliferative Activities of Insulin Analogues in Primary Human Tumor Cells,,Available,No Results Available,Endometrial Cancer|Colon Cancer,Other: Tissue sample from tumor,,Meir Medical Center|Tel Aviv University,Female,"18 Years to 90 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,0015-10-MMC,null,null,null,28-Dec-10,null,10-Aug-12,,,https://ClinicalTrials.gov/show/NCT01267461
210,NCT01250808,Technology Platform and System Construction of Clinical Evaluation Studies on New Drugs of Hematological Malignancy,,Available,No Results Available,Multiple Myeloma,Drug: Bortezomib/Dexamethasone/Melphalan,,Peking University,All,"18 Years and older   (Adult, Older Adult)",,null,Other,Expanded Access,,2008ZX09312-026,null,null,null,1-Dec-10,null,1-Dec-10,"Institute of Hematology,Peking University, Peking, China",,https://ClinicalTrials.gov/show/NCT01250808
211,NCT01242891,Assess Safety and Probable Benefit of the EXCOR® Pediatric Ventricular Assist Device Under a Continued Access Protocol,CAP,Approved for marketing,No Results Available,Heart Failure|Cardiomyopathies,Device: EXCOR® Pediatric Ventricular Assist Device,,"Berlin Heart, Inc",All,up to 16 Years   (Child),,null,Industry,Expanded Access,,EXCOR® Continued Access,null,null,null,17-Nov-10,null,6-Mar-12,,,https://ClinicalTrials.gov/show/NCT01242891
212,NCT01240421,"An Open-Label, Multi-Center, Expanded Access Program With Eribulin for the Treatment of Advanced Breast Cancer Refractory",,Approved for marketing,No Results Available,Metastatic Breast Cancer,Drug: Eribulin Mesylate,,Eisai Inc.,Female,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,E7389-G000-398,Mar-11,Mar-15,Nov-14,15-Nov-10,null,22-May-15,"Brussels, Belgium|Edmonton, Canada|London, Canada|Moncton, Canada|Montreal, Canada|Ottawa, Canada|Quebec, Canada|Toronto, Canada|Vancouver, Canada|Besancon, France|Marseille Cedex 09, France|Paris Cedex 05, France|Saint-cloud, France|Toulouse cedex, France",,https://ClinicalTrials.gov/show/NCT01240421
213,NCT01236287,Special Access for the Use of Voclosporin for Kidney Transplantation,,Available,No Results Available,"Immunosuppression|Transplantation, Kidney",Drug: Voclosporin,,Weill Medical College of Cornell University,All,"18 Years to 65 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,904010380,null,null,null,8-Nov-10,null,28-Feb-18,,,https://ClinicalTrials.gov/show/NCT01236287
214,NCT01220531,Thymus Transplantation Safety-Efficacy,,Available,No Results Available,Complete DiGeorge Anomaly|DiGeorge Syndrome|DiGeorge Anomaly|Complete DiGeorge Syndrome,Biological: Thymus Tissue for Transplantation|Procedure: Blood Draw|Drug: Rabbit anti-thymocyte globulin|Drug: Cyclosporine|Drug: Tacrolimus|Drug: Methylprednisolone or Prednisolone|Drug: Basiliximab|Drug: Mycophenolate mofetil,,M. Louise Markert|National Institutes of Health (NIH)|National Institute of Allergy and Infectious Diseases (NIAID)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Enzyvant Therapeutics GmbH|Duke University,All,"Child, Adult, Older Adult",,null,Other|NIH|Industry,"Expanded Access:Intermediate-size Population|Treatment IND/Protocol""",,Pro00025966|2R01AI047040-11A2|5K12HD043494-09,null,null,null,14-Oct-10,null,21-May-18,"Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT01220531
215,NCT01217697,Study of Abiraterone Acetate in Patients With Advanced Prostate Cancer,,Approved for marketing,No Results Available,"Prostate Neoplasms|Genital Neoplasms, Male|Urogenital Neoplasms|Genital Diseases, Male",Drug: Abiraterone Acetate|Drug: Prednisone\Prednisolone,,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",All,"18 Years to 99 Years   (Adult, Older Adult)",,null,Industry,Expanded Access,,CR017479|212082PCR3001|2010-021425-13,null,null,null,8-Oct-10,null,24-Mar-17,"Birmingham, Alabama, United States|Mobile, Alabama, United States|Chandler, Arizona, United States|Scottsdale, Arizona, United States|Tucson, Arizona, United States|Anaheim, California, United States|Bellflower, California, United States|Berkeley, California, United States|Beverly Hills, California, United States|Duarte, California, United States|Encinitas, California, United States|Glendale, California, United States|Greenbrae, California, United States|La Jolla, California, United States|Laguna Hills, California, United States|Long Beach, California, United States|Los Angeles, California, United States|Marina Del Rey, California, United States|Rancho Mirage, California, United States|San Diego, California, United States|San Francisco, California, United States|Santa Rosa, California, United States|Stanford, California, United States|Aurora, Colorado, United States|Colorado Springs, Colorado, United States|Denver, Colorado, United States|Fort Collins, Colorado, United States|Littleton, Colorado, United States|Hartford, Connecticut, United States|Manchester, Connecticut, United States|New Britain, Connecticut, United States|Norwalk, Connecticut, United States|Norwich, Connecticut, United States|Southington, Connecticut, United States|Stamford, Connecticut, United States|Torrington, Connecticut, United States|Trumball, Connecticut, United States|Washington, District of Columbia, United States|Boca Raton, Florida, United States|Fort Lauderdale, Florida, United States|Fort Myers, Florida, United States|Gainesville, Florida, United States|Miami, Florida, United States|Ocala, Florida, United States|Orlando, Florida, United States|Palm Beach Gardens, Florida, United States|Port Saint Lucie, Florida, United States|South Miami, Florida, United States|Atlanta, Georgia, United States|Savannah, Georgia, United States|Honolulu, Hawaii, United States|Post Falls, Idaho, United States|Chicago, Illinois, United States|Decatur, Illinois, United States|Harvey, Illinois, United States|Niles, Illinois, United States|Peoria, Illinois, United States|Urbana, Illinois, United States|Fort Wayne, Indiana, United States|Lafayette, Indiana, United States|Merrillville, Indiana, United States|Muncie, Indiana, United States|Bettendorf, Iowa, United States|Westwood, Kansas, United States|Lexington, Kentucky, United States|Louisville, Kentucky, United States|Marrero, Louisiana, United States|New Orleans, Louisiana, United States|Bangor, Maine, United States|Scarborough, Maine, United States|Easton, Maryland, United States|Rockville, Maryland, United States|Boston, Massachusetts, United States|Worcester, Massachusetts, United States|Dearborn, Michigan, United States|Detroit, Michigan, United States|Grand Rapids, Michigan, United States|Lansing, Michigan, United States|Rochester, Minnesota, United States|Saint Louis Park, Minnesota, United States|St. Joseph, Missouri, United States|Billings, Montana, United States|Omaha, Nebraska, United States|Las Vegas, Nevada, United States|Hooksett, New Hampshire, United States|Portsmouth, New Hampshire, United States|Cherry Hill, New Jersey, United States|Hackensack, New Jersey, United States|Livingston, New Jersey, United States|Morristown, New Jersey, United States|New Brunswick, New Jersey, United States|Paramus, New Jersey, United States|Los Alamos, New Mexico, United States|Albany, New York, United States|Binghamton, New York, United States|Bronx, New York, United States|Brooklyn, New York, United States|Buffalo, New York, United States|Cooperstown, New York, United States|Dunkirk, New York, United States|East Setauket, New York, United States|East Syracuse, New York, United States|Fresh Meadows, New York, United States|Glens Falls, New York, United States|Mt. Kisco, New York, United States|New Hyde Park, New York, United States|New York, New York, United States|Rochester, New York, United States|Stony Brook, New York, United States|Syracuse, New York, United States|Chapel Hill, North Carolina, United States|Charlotte, North Carolina, United States|Durham, North Carolina, United States|Greenville, North Carolina, United States|Hendersonville, North Carolina, United States|High Point, North Carolina, United States|Huntersville, North Carolina, United States|Pinehurst, North Carolina, United States|Raleigh, North Carolina, United States|Cincinnati, Ohio, United States|Cleveland, Ohio, United States|Columbus, Ohio, United States|Dayton, Ohio, United States|Elyria, Ohio, United States|Massillon, Ohio, United States|Middletown, Ohio, United States|Sandusky, Ohio, United States|Bethany, Oklahoma, United States|Oklahoma City, Oklahoma, United States|Portland, Oregon, United States|Allentown, Pennsylvania, United States|Philadelphia, Pennsylvania, United States|West Reading, Pennsylvania, United States|Providence, Rhode Island, United States|Charleston, South Carolina, United States|Columbia, South Carolina, United States|Greenville, South Carolina, United States|Myrtle Beach, South Carolina, United States|Bristol, Tennessee, United States|Chattanooga, Tennessee, United States|Memphis, Tennessee, United States|Nashville, Tennessee, United States|Austin, Texas, United States|Corpus Christi, Texas, United States|Dallas, Texas, United States|Galveston, Texas, United States|Houston, Texas, United States|San Antonio, Texas, United States|Temple, Texas, United States|The Woodlands, Texas, United States|Salt Lake City, Utah, United States|Burlington, Vermont, United States|Hampton, Virginia, United States|Newport News, Virginia, United States|Norfolk, Virginia, United States|Seattle, Washington, United States|Milwaukee, Wisconsin, United States|Adelaide, Australia|Bedford Park, Australia|Box Hill, Australia|Camperdown, Australia|Footscray, Australia|Garran, Australia|Geelong, Australia|Heidelberg, Australia|Herston, Australia|Hobart, Australia|Kogarah, Australia|Kurralta Park, Australia|Liverpool, Australia|Nedlands, Australia|Port Macquarie, Australia|Randwick, Australia|South Brisbane, Australia|Southport Qld, Australia|Subiaco, Australia|Sydney, Australia|Tamworth, Australia|Wahroonga, Australia|Westmead, Australia|Wodonga, Australia|Woolloongabba, Australia|Belo Horizonte, Brazil|Curitiba, Brazil|Porto Alegre, Brazil|Recife, Brazil|Rio De Janeiro, Brazil|Salvador, Brazil|Sao Paulo, Brazil|São Paulo, Brazil|Kelowna, British Columbia, Canada|Vancouver, British Columbia, Canada|Victoria, British Columbia, Canada|Halifax, Nova Scotia, Canada|Hamilton, Ontario, Canada|Kingston, Ontario, Canada|Ottawa, Ontario, Canada|Toronto, Ontario, Canada|Montreal, Quebec, Canada|Regina, Saskatchewan, Canada|Calgary, Canada|London, Canada|N/a N/a, Canada|Quebec, Canada|Bogota, Colombia|Floridablanca, Colombia|Medellin, Colombia|Monteria, Colombia|Pereira, Colombia|Valledupar, Colombia|Split, Croatia|Zagreb, Croatia|Brno, Czech Republic|Hradec Kralove, Czech Republic|Olomouc, Czech Republic|Praha 2, Czech Republic|Usti Nad Labem, Czech Republic|Aarhus, Denmark|Copenhagen Ø, Denmark|Köpenhamn Ö, Denmark|Athens Attica, Greece|Athens, Greece|Crete, Greece|Larisa, Greece|Patra, Greece|Thessalonikis, Greece|Hk, Hong Kong|Hong Kong, Hong Kong|New Territories, Hong Kong|Sha Tin, Hong Kong|Budapest N/A, Hungary|Budapest, Hungary|Zalaegerszeg-P Zva N/A, Hungary|Jakarta, Indonesia|Hwasun Gun, Korea, Republic of|Seongnam-Si, Gyeonggi-Do, Korea, Republic of|Seoul, Korea, Republic of|Jalan Cheras N/A, Malaysia|Kota Kinabalu, Malaysia|Kuala Lumpur N/A, Malaysia|Kuala Lumpur, Malaysia|Subang Jaya, Malaysia|Acapulco, Guerrero, Mexico|Aguascalientes, Mexico|Chihuahua, Mexico|Ciudad De Mexico, Mexico|Cuernavaca, Mexico|Distrito Federal, Mexico|Durango, Mexico|Guadalajara, Mexico|Leon, Mexico|Mexico City, Mexico|Mexico, D.F., Mexico|Monterrey, Mexico|Oaxaca, Mexico|Veracruz, Mexico|Zamora, Mexico|Christchurch, New Zealand|Grafton, New Zealand|Hamilton, New Zealand|Palmerston North, New Zealand|Wellington, New Zealand|Gdansk, Poland|Lodz, Poland|Opole, Poland|Otwock, Poland|Wroclaw, Poland|Ponce, Puerto Rico|San Juan, Puerto Rico|Brasov, Romania|Bucuresti, Romania|Cluj-Napoca, Romania|Iasi, Romania|Barnaul, Russian Federation|Ekaterinburg, Russian Federation|Kazan, Russian Federation|Moscow, Russian Federation|Nizhny Novgorod, Russian Federation|Obninsk, Russian Federation|Omsk, Russian Federation|Pyatigorsk, Russian Federation|Rostov-On-Don, Russian Federation|Saint-Petersburg, Russian Federation|St Petersburg, Russian Federation|St-Petersburg, Russian Federation|Stavropol, Russian Federation|Ufa, Russian Federation|Singapore, Singapore|Badajoz, Spain|Barakaldo Vizcaya, Spain|Barcelona, Spain|Cordoba, Spain|Hospitalet. Barcelona, Spain|La Coruña, Spain|Madrid, Spain|Palma De Mallorca, Spain|Salamanca, Spain|Santa Cruz De Tenerife, Spain|Sevilla, Spain|Toledo, Spain|Valencia, Spain|Kaohsiung County, Taiwan|Kaohsiung, Taiwan|Taoyuan, Taiwan|Bangkok, Thailand",,https://ClinicalTrials.gov/show/NCT01217697
216,NCT01216124,Efficacy and Safety Study of Neoadjuvant Chemotherapy for Local Advanced Triple Negative Breast Cancer Patients,,Available,No Results Available,Triple Negative Local Advanced Breast Cancer,Drug: docetaxel oxaliplatin,,Fudan University|Chinese Anti-Cancer Association,Female,"18 Years to 65 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,Fudan TNBC Neo CT,null,null,null,7-Oct-10,null,7-Oct-10,,,https://ClinicalTrials.gov/show/NCT01216124
217,NCT01216111,Comparison Study of Adjuvant Chemotherapy for Chinese Triple Negative Breast Cancer,,Available,No Results Available,Triple Negative Breast Cancer,Drug: Paclitaxel Cisplatin,,Fudan University|Chinese Anti-Cancer Association,Female,"18 Years to 65 Years   (Adult, Older Adult)",,null,Other,Expanded Access,,Fudan TNBC Adjuvant CT,null,null,null,7-Oct-10,null,7-Oct-10,,,https://ClinicalTrials.gov/show/NCT01216111
218,NCT01209650,LUX Lung Special Access Scheme Australia Named Patient Use (NPU),,Approved for marketing,No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: BIBW 2992,,Boehringer Ingelheim,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,1200.47,null,null,null,27-Sep-10,null,10-Nov-16,"1200.47.1 Boehringer Ingelheim Investigational Site, North Ryde, New South Wales, Australia",,https://ClinicalTrials.gov/show/NCT01209650
219,NCT01200017,Expanded Access Protocol (EAP) Using the CliniMACS® Device for Pediatric Haplocompatible Donor Stem Cell Transplant,,Available,No Results Available,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Chronic Myeloid Leukemia|Myelodysplastic Syndrome|Lymphomas|Bone Marrow Failure|Hemoglobinopathy|Immune Deficiency|Osteopetrosis|Cytopenias|Leukocyte Disorders|Anemia Due to Intrinsic Red Cell Abnormality,"Biological: CD34+ enriched, T Cell Depleted donor stem cell product",,"University of California, San Francisco",All,"2 Months to 30 Years   (Child, Adult)",,null,Other,Expanded Access,,UCSF-10082,null,null,null,13-Sep-10,null,27-Nov-17,"University of California, San Francisco (UCSF) Children's Hospital, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT01200017
220,NCT01198860,Treatment on HBeAg Positive or HBeAg Negative in Chronic Hepatitis B,HBV,Available,No Results Available,CHRONIC HEPATITIS B,Drug: CTH Chronic Hepatitis B,,"Triệu, Nguyễn Thị, M.D.",All,18 Years to 60 Years   (Adult),,null,Other,Expanded Access,,HBsAg 07-10 - Private Clinic,null,null,null,10-Sep-10,null,11-Oct-17,"Private Clinic TRAN MINH DUC, Hồ Chí Minh, Ho Chi Minh City, Vietnam",,https://ClinicalTrials.gov/show/NCT01198860
221,NCT01196208,A Treatment-Option Protocol to Provide Brentuximab Vedotin to Eligible Patients Completing Studies SGN35-005 or C25001,,Available,No Results Available,"Disease, Hodgkin|Lymphoma, Large-Cell, Anaplastic|Lymphoma, Non-Hodgkin|Lymphoma, T-Cell, Cutaneous",Drug: brentuximab vedotin,,"Seattle Genetics, Inc.|Millennium Pharmaceuticals, Inc.",All,"6 Years and older   (Child, Adult, Older Adult)",,null,Industry,Expanded Access,,SGN35-010|2010-020363-21,null,null,null,8-Sep-10,null,11-Sep-17,"Stanford Cancer Center, Stanford, California, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|MD Anderson Cancer Center / University of Texas, Houston, Texas, United States|Peter MacCallum Cancer Center, Melbourne, Australia|Leuven University Hospital, Leuven, Belgium|Specializirana bolnica aktivno lechenie detsa ohcohematologichni zabolyavania Hematologichno, Sofia, Bulgaria|Specializirana bolnica za aktivno lechenie na hematologichni zabolyavania, Sofia, Bulgaria|Hopital Saint-Louis/Service d'Hematologie, Paris, Cedex 10, France|South Lyon Hospital Center, Department of Dermatology, Lyon, France|Centre Henri Becquerel / Centre Regional de Lutte Contre le Cancer, Rouen, France|Johannes Wesling Hospital Minden, Department of Dermatology, Minden, Germany|Szent Istvan es Szent Laszlo Korhaz Rendelointezet Haematologiai es Ossejt-transzplantacios osztaly, Budapest, Hungary|Debreceni Egyetem Orvos és Egeszsegtudomanyi Centrum, III. sz. Belgyogyaszati Klinika, Debrecen, Hungary|Szegedi Tudomanyegyetem Szent-Gyorgyi Albert Klinikat Kozpont, Szeged, Hungary|Polyclinic S. Orsola-Malpighi, Institute of Hematology and Medical Oncology ""Lorenzo and Ariosto Seragnoli"", Bologna, Italy|IRCCS University Hospital San Martino, Genoa, Italy|Klinika Hematologii, Wojewodzki Szpital Specjalistyczny im. M. Kopernika w Lodzi, Lodz, Poland|Klinika Hematologii, Instytut Hematologii i Transfuzjologii, Warsaw, Poland|Centrum Onkologii Institut im. Marii Sklodowskiej-Curie, Warsaw, Poland|Spitalul Clinic Judetean de Urgenta Targu Mures, Sectia Clinica Hematologie si Transplant Medular, Targu Mures, judetul Mures, Romania|Fundeni Clinical Institute, Center for Hematology and Bone Marrow Transplantation, Bucharest, Romania|Institutul Clinic Fundeni, Centrul de Hematologie si Transplant Medular Stefan Berceanu, Bucharest, Romania|Rossijskij onkologicheskij nauchnyj centr im. N.N. Blokhina RAMN, Moscow, Russian Federation|Gematologicheskj nauchnyj centr RAMN, Moscow, Russian Federation|Research Institute of Clinical Immunology, Novosibirsk, Russian Federation|Sankt-Peterburgskij gosudarstvennyj medicinskij universitet im. akademika I. P. Pavlova, St. Petersburg, Russian Federation|Clinical Center of Serbia, Clinic of Hematology, Belgrade, Serbia|University Hospital 12 de Octubre, Department of Dermatology, Madrid, Spain|University Hospital Zurich, Department of Dermatology, Zurich, Switzerland|Queen Elizabeth Hospital, Birmingham, United Kingdom|St John's Institute of Dermatology, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT01196208
222,NCT01180218,Complete Lesion Versus Culprit Lesion Revascularization,COCUA,Available,No Results Available,Myocardial Infarction,Procedure: complete revascularization|Procedure: Culprit revasularization,,Korea University Guro Hospital,All,"18 Years and older   (Adult, Older Adult)",,null,Other,Expanded Access,,KoreaUGuroH_1,Jul-11,Jul-16,Jul-16,12-Aug-10,null,25-Apr-17,"Seung Woon Rha, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01180218
223,NCT01163383,131-I-MIBG Therapy for Refractory Neuroblastoma and Metastatic Paraganglioma/Pheochromocytoma,,Available,No Results Available,Neuroblastoma|Childhood Metastatic Pheochromocytoma|Paraganglioma,Drug: 131 I-Metaiodobenzylguanidine (131 I-MIBG)|Drug: 131 I-MIBG,,Children's Hospital of Philadelphia,All,"1 Year and older   (Child, Adult, Older Adult)",,null,Other,Expanded Access,,2005-02-4159|CHP-830,null,null,null,15-Jul-10,null,27-Jul-17,"The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT01163383
224,NCT01160250,A Study of Vismodegib (GDC-0449) in Patients With Locally Advanced or Metastatic Basal Cell Carcinoma,,Approved for marketing,No Results Available,Basal Cell Carcinoma,Drug: vismodegib (GDC-0449),,"Genentech, Inc.",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,SHH4811g,Jul-10,Apr-12,Apr-12,12-Jul-10,null,6-Aug-15,"Scottsdale, Arizona, United States|Scottsdale, Arizona, United States|Los Angeles, California, United States|Stanford, California, United States|Ormond Beach, Florida, United States|Detroit, Michigan, United States|New York, New York, United States|Columbus, Ohio, United States|Philadelphia, Pennsylvania, United States|Nashville, Tennessee, United States|Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT01160250
225,NCT01151930,Long-Term Compassionate Use Study for Continued Administration of SCB01A-01,,Available,No Results Available,Malignant Solid Tumour,Drug: SCB01A,,"SynCore Biotechnology Co., Ltd.",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,Expanded Access,,SCB01A-01-B,null,null,null,29-Jun-10,null,19-Oct-17,,,https://ClinicalTrials.gov/show/NCT01151930
226,NCT01112332,Weight-bearing Measuring Device to Determine Normative Percentage Body-Weight/Weight-Bearing Values and Weight-bearing Gait Characteristics,SSW001,Available,No Results Available,Percentage Body-Weight|Weight-Bearing Values|Weight-bearing Gait Characteristics,Device: SmartStep insole,,Meir Medical Center,All,"18 Years and older   (Adult, Older Adult)",,null,Other,Expanded Access,,042-2010,Mar-10,null,null,28-Apr-10,null,10-Aug-12,"Jerusalem Sports Medicine Institute, Lerner Sports Center, Hebrew University of Jerusalem, Jerusalem, Israel",,https://ClinicalTrials.gov/show/NCT01112332
