	0	1	Indication	ICD9	ICD10
721	D03CQE	Gatifloxacin; Bonoq; GTFX; Gaity; Gatiflo; Gatilox; Gatiquin; Gatispan; Tequin; Zymar; Zymaxid; Zymer; AM 1155; CG 5501;PD 135432; PD135432; AM-1155; BMS 206584-01; BMS-206584; CG-5501; Gatiflo (TN); Gatifloxacin & Gamma Interferon; Gatifloxacin (INN); Gatifloxacin (TN); Gatifloxacin [USAN:INN]; PD-135432; Tequin (TN); Tequin in dextrose 5% in plastic container; Zymar (TN); Zymer (TN); BMS-206584-01; Gatiflo,Tequin and Zymar, Gatifloxacin; AM-1155 (*Sesquihydrate*); (+-)-1-Cyclopropyl-6-fluoro-1,4-dihydro-8-methoxy-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid; 1-Cyclopropyl-1,4-dihydro-6-fluoro-8-methoxy-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid; 1-Cyclopropyl-6-fluoro-1,4-dihydro-8-methoxy-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid; 1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid; 1-cyclopropyl-6-fluoro-8-methoxy-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid	Respiratory tract infection	460-519	J00-J99
722	D08LTU	Minocycline; Borymycin; MINO; MIY; Minociclina; Minociclinum; Minocin; Minocline; Minocyclin; Minocyclinum; Minocycline Monohydrochloride; CL 59806; Lactoferrin B & Minocycline; Lactoferrin H & Minocycline; Minociclina [INN-Spanish]; Minocin (Hydrochloride); Minocin (TN); Minocyclinum [INN-Latin]; Vectrin (Hydrochloride); CRL-1605 & Minocycline; Minocycline (USAN/INN); Minocycline [USAN:BAN:INN]; (2Z,4S,4aS,5aR,12aS)-2-[amino(hydroxy)methylidene]-4,7-bis(dimethylamino)-10,11,12a-trihydroxy-4a,5,5a,6-tetrahydro-4H-tetracene-1,3,12-trione; (4S,4AS,5AR,12AS)-4,7-BIS(DIMETHYLAMINO)-3,10,12,12A-TETRAHYDROXY-1,11-DIOXO-1,4,4A,5,5A,6,11,12A-OCTAHYDROTETRACENE-2-CARBOXAMIDE; 4,7-Bis(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,10,12,12a-tetrahydroxy-1,11-dioxo-2-naphthacenecarboxamide; 7-Dimethylamino-6-demethyl-6-deoxytetracycline	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
723	D03MTN	Mepolizumab; Bosatria; Scoparianoside C; SB 240563; Immunoglobulin G1, anti-(human interleukin 5) (human-mouse monoclonal SB-240563 gamma1-chain), disulfide with human-mouse monoclonal SB-240563 kappa-chain, dimer; (2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,14aR,14bR)-8a-carboxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,13,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxane-2-carboxylic acid	Asthma; Eosinophilic oesophagitis; Hypereosinophilia		D72.1, J40-J44, J47, J45, L20
724	D03MTN	Mepolizumab; Bosatria; Scoparianoside C; SB 240563; Immunoglobulin G1, anti-(human interleukin 5) (human-mouse monoclonal SB-240563 gamma1-chain), disulfide with human-mouse monoclonal SB-240563 kappa-chain, dimer; (2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,14aR,14bR)-8a-carboxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,13,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxane-2-carboxylic acid	Severe asthma; Nasal polyposis	471, 493	J33, J45
725	D01AYJ	Terbinafine; Bramazil; Lamasil; TerbiFoam; Terbina; Lamisil AT; Lamisil Tablet; Ternbinafine HCl; Lamasil (TN); Lamisil (TN); SF 86-327; Terbisil (TN); Zabel (TN); SF-86-327; Terbinafine (USAN/INN); Terbinafine [USAN:BAN:INN]; Lamisil, Terbinex, Corbinal, Zabel, Terbinafine; Terbinafine, SF-86-327, Lamisil, TBNF; (2E)-N,6,6-trimethyl-N-(1-naphthylmethyl)-2-hepten-4-yn-1-amine; (2E)-N,6,6-trimethyl-N-(naphthalen-1-ylmethyl)hept-2-en-4-yn-1-amine; (E)-N,6,6-trimethyl-N-(naphthalen-1-ylmethyl)hept-2-en-4-yn-1-amine; (E)-N-(6,6-Dimethyl-2-hepten-4-ynyl)-N-methyl-1-naphthalene methanamine; (E)-N-(6,6-Dimethyl-2-hepten-4-ynyl)-N-methyl-1-naphthalenemethylamine; (E)-N-(6,6-dimethyl-2-heptenynyl)-N-methyl-1-naphthalenementhamin hydrochloride	Fungal infections	110-118	B35-B49
726	D08JCA	Silver sulfadiazine; Brandiazin; Dermazin; Dermazine; Flamazine; Flammazine; Geben; SSD; Sicazine; Silbertone; Sildaflo; Silvadene; Silvederma; Silver; Sulfargen; Thermazene; Abbott Brand of Silver Sulfadiazine; Aldo Brand of Silver Sulfadiazine; Major Brand of Silver Sulfadiazine; Medphano Brand of Silver Sulfadiazine; MonarchBrand of Silver Sulfadiazine; Pharmascience Brand of Silver Sulfadiazine; Rhone Poulenc Rorer Brand of Silver Sulfadiazine; SSD AF; SULFADIAZINE SILVER; Sherwood Brand of Silver Sulfadiazine; Silver Sulfafdiazine; Silver sulfadiazinate; Silver sulphadiazine; Solvay Brand of Silver Sulfadiazine; Sulfadiazin silber; Sulfadiazine silver salt; Sulfadiazine silverSilvadene; Zenith Brand of Silver Sulfadiazine; Par Brand 1 of Silver Sulfadiazine; Par Brand 2 of Silver Sulfadiazine; Par Brand 3 of Silver Sulfadiazine; Flamazine (TN); Rhone-Poulenc Rorer Brand of Silver Sulfadiazine; Silvadene (TN); Silver(I) sulfadiazine; Smith & Nephew Brand of Silver Sulfadiazine; Sulfadiazin, silbersalz; Sulfadiazine silver (JP15); Sulfadiazine, Silver [USAN]; Sulfadiazine, silver; Sulfafdiazine, Silver; Thermazene (TN); SSD (1% Silver Sulfadiazine Cream USP); Sulfadiazine, silver (USP); N1-2-Pyrimidinylsulfanilamide monosilver(1+) salt; N(sup 1)-2-Pyrimidinylsulfanilamide monosilver(1+) salt; Silver (4-aminophenyl)sulfonyl-pyrimidin-2-ylazanide; Silver 4-amino-N-pyrimidin-2-ylbenzenesulfonamide; Benzenesulfonamide,4-amino-N-2-pyrimidinyl-, silver complex; Silver(1+) [(4-aminophenyl)sulfonyl](pyrimidin-2-yl)azanide; Sulfanilamide,N1-2-pyrimidinyl-, monosilver(1+) salt; Sulfanilamide, N(sup 1)-2-pyrimidinyl-, monosilver(1+) salt; Benzenesulfonamide, 4-amino-N-2-pyrimidinyl-, monosilver(1+) salt; (4-Amino-N-pyrimidin-2-ylbenzenesulphonamidato-NN,O1)silver; 4-Amino-N-(2-pyrimidinyl)benzenesulfonamide silver salt; 4-amino-N-pyrimidin-2-ylbenzenesulfonamide	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
727	D0W8SJ	Minaprine; Brantur; Cantor; Minaprina; Minaprinum; Minaprine dihydrochloride; AGR 1240; CB 30038; Cantor (TN); Minaprina [INN-Spanish]; Minaprinum [INN-Latin]; Minaprine (USAN/INN); Minaprine [USAN:BAN:INN]; N-(4-Methyl-6-phenyl-3-pyridazinyl)-4-morpholineethanamine; 3-(morpholinoethyl)amino-4-methyl-6-phenylpyridazine; 4-(2-((4-Methyl-6-phenyl-3-pyridazinyl)amino)ethyl)morpholine; 4-Methyl-3-(2-morpholinoethylamino)-6-phenylpyridazin; 4-methyl-N-(2-morpholin-4-ylethyl)-6-phenylpyridazin-3-amine	Depression; Cerebral infarction	311	F30-F39, I63
728	D02SBQ	Urofollitropin; Bravelle; Fertinex; Metrodin; Urofollitrophin; Fertinorm HP; Bravelle (TN); Fertinex (TN); Follistim (TN); Gonal-F(TN); (4-Threonine)oxytocin; 1,2-Dithia-5,8,11,14,17-penaazacycloeicosane, cyclic peptide deriv.; 4-(L-Threonine)oxytocin	Female infertility	628	N97.0
729	D06BCB	Vinpocetine; Bravinton; Cavinton; Ceractin; Vinpocetinum; Apovincaminic acid ethyl ester; AY 27255; RGH 4405; TCV 3B; V 6383; V6383_SIGMA; AY 27,255; Apovincaminate d'ethyle; Apovincaminate d'ethyle [French]; Cavinton (TN); Cis-Apovincaminic acid ethyl ester; Intelectol (TN); RGH-4405; TCV-3B; Ultra-Vinca; Vinpocetine-ethyl apovincaminate; Vinpocetinum [INN-Latin]; Eburnamenine-14-carboxylic acid ethyl ester; Ethyl apovincamin-22-oate; Vinpocetine [USAN:INN:JAN]; Ethyl (+)-apovincaminate; Vinpocetine (JAN/USAN/INN); Ethyl(+)-cis-apovincaminate; Ethyl apovincaminate, (3alpha,16alpha)-isomer; Ethyl (3alpha,16alpha)-eburnamenine-14-carboxylate; (+)-Apovincaminic acid ethyl ester; (+)-cis-Apovincaminic acid ethyl ester; (3alpha, 16alpha)-Eburnamenine-14-carboxylic acid ethyl ester; 1H-Indolo[3,2,1-de]pyrido[3,2,1-ij][1,5]naphthyridine, eburnamenine-14-carboxylic acid deriv.; 3-alpha,16-alpha-Apovincaminic acid ethyl ester	Acute ischemic stroke	434.91	I61-I63
730	D0G5AG	Mizoribine; Bredinin; Bredinine; MZR; Mizoribina; Mizoribinum; M 3047; Bredinin (TN); HE-69; HS-0046; Mizoribina [INN-Spanish]; Mizoribine [INN:JAN]; Mizoribinum [INN-Latin]; Mizoribine (JAN/INN); Bredinin, HE 69, NSC 289637, MZB, Mizoribine; Anhydro-4-carbamoyl-5-hydroxy-1-beta-D-ribofuranosyl-imidazolium hydroxide; N'-(beta-D-Ribofuranosyl)-5-hydroxyimidazole-4-carboxamide; N'-(beta-D-Ribofuranosyl)-5-hydroxy-imida-zole-4-carboxamide; 1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-hydroxyimidazole-4-carboxamide;4-Carbamoyl-1-beta-D-ribofuranosyl-imidazolium-5-olate; 4-carbamoyl-1-b-d-ribofuranosylimidazolium-5-olate; 5-Hydroxy-1-beta-D-ribofuranosyl-1H-imidazole-4-carboxamide; 5-Hydroxy-1-beta-D-ribofuranosylimidazole-4-carboxamide	Hyperuricemia; Transplant rejection	790.6, 279.5, 996	E79.0, D89.8, T86
731	D07KHH	LAS-34273; Bretaris; Eklira; Aclidinium bromide; LAS-W-330; [1-(3-phenoxypropyl)-1-azoniabicyclo[2.2.2]oct-8-yl] 2-hydroxy-2,2-dithiophen-2-yl-acetate Bromide	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
732	D02YYF	Bretylium; Bretylum; Bretylium tolsylate; Bretylium tosylate(USAN); N-(2-bromobenzyl)-N,N-dimethylethanaminium; N-ethyl-N,N-dimethyl-2-bromobenzenemethanaminium; Benzenemethanaminium, 2-bromo-N-ethyl-N,N-dimethyl-, salt with 4-methylbenzenesulfonic acid (1:1); (2-bromobenzyl)ethyldimethylaminium; (2-bromophenyl)methyl-ethyl-dimethylazanium; (o-Bromobenzyl)ethyldimethylammonium p-toluenesulfonate; 2-bromo-N-ethyl-N,N-dimethylbenzenemethanaminium	Ventricular fibrillation		I49.01
733	D0S8TD	Methohexital; Brevital; Brietal; Enallynymall; Enallynymalum; Methodrexitone; Methohexitalum; Methohexitone; Metoesital; Metohexital; Metoesital [DCIT]; Brevital (TN); Methohexital, Monosodium Salt; Methohexitalum [INN-Latin]; Metohexital [INN-Spanish]; Methohexital (USP/INN); Alpha-DL-1-Methyl-5-allyl-5-(1'-methylpentyn-2-yl)barbituricacid; (+-)-5-Allyl-1-methyl-5-(1-methyl-2-pentynyl)barbituric acid; 1-methyl-5-(1-methylpent-2-yn-1-yl)-5-(prop-2-en-1-yl)pyrimidine-2,4,6(1H,3H,5H)-trione; 1-methyl-5-(1-methylpent-2-yn-1-yl)-5-prop-2-en-1-ylpyrimidine-2,4,6(1H,3H,5H)-trione; 5-Allyl-1-methyl-5-(1-methyl-2-pentynyl)-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-Allyl-1-methyl-5-(1-methyl-pent-2-ynyl)-pyrimidine-2,4,6-trione; 5-Allyl-5-(3-hexyn-2-yl)-1-methylbarbituric acid; 5-hex-3-yn-2-yl-1-methyl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	Anesthesia	338	R20.0
734	D0P0OU	OPC-34712; Brexpiprazole	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
735	D0JY8T	Bazedoxifene; Brilence; Conbriza; Viviant; Bazedoxifene acetate; TSE-424; WAY-140424; WAY-TES 424	Osteopetrosis		Q78.2
736	D0WF7L	Brilinta; Brilique; Ticagrelor; AR-C126532; AZD-6140; Ticagrelor (USAN/INN)	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
737	D0AE3X	Brimonidine; Brimonidine (bioerodible, extended release)	Ocular hypertension	365.04	H40.0
738	D00WAM	Hydroflumethiazide; Bristab; Bristurin; Dihydroflumethazide; Dihydroflumethiazide; Diucardin; Diuredemina; Diurometon; Elodrin; Elodrine; Enjit; Finuret; Flutizide; Glomerulin; HFZ; Hidroalogen; Hidroflumetiazid; Hidroflumetiazida; Hydol; Hydrenox; Hydroflumethazide; Hydroflumethiazidum; Hydroflumethizide; Idroflumetiazide; Leodrine; Metflorylthiazidine; Metforylthiadiazin; Metforylthiazidin; Methforylthiazidine; NaClex; Olmagran; Rivosil; Robezon; Rodiuran; Rontyl; Saluron; Sisuril; Spandiuril; Trifluoromethylhydrazide; Trifluoromethylhydrothiazide; Vergonil; Component of Salutensin; Idroflumetiazide [DCIT]; SB01887; Di-ademil; Di-adenil; Hidroflumetiazida [INN-Spanish]; Hydroflumethiazidum [INN-Latin]; Naciex (glaxo); Saluron (TN); Adiazine 1,1-dioxide; Hydroflumethiazide [INN:BAN:JAN]; Hydroflumethiazide (JAN/USP/INN); Ethyl-2H-1,2, 4-benzothiadiazine-7-sulfonamide 1,1-dioxide; Fluoromethyl-3, 4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide; 1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1; 2H-1,2, 4-Benzothiadiazine-7-sulfonamide, 3, 4-dihydro-6-(trifluoromethyl)-, 1,1-dioxide; 2H-1,2,4-Benzothiadiazine-7-sulfonamide, 3,4-dihydro-6-(trifluoromethyl)-, 1,1-dioxide; 3, 4-Dihydro-6-trifluorom; 3, 4-Dihydro-6-trifluoromethyl-7-sulfamoylbenzo-1,2,4-thiadiazine 1, 1-dioxide; 3,4-Dihydro-6-(trifluoromethyl)-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide; 3,4-Dihydro-6-trifluoromethyl-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide; 3,4-Dihydro-6-trifluoromethyl-7-sulfamoylbenzo-1,2,4-thiadiazine 1,1-dioxide; 3,4-Dihydro-7-sulfamoyl-6-trifluoromethyl-2H-1,2, 4-benzothi; 3,4-Dihydro-7-sulfamoyl-6-trifluoromethyl-2H-1,2,4-benzothiadiazine 1,1-dioxide; 3,4-Dihydro-7-sulfamyl-6-trifluoromethyl-2H-1,2,4-benzothiadiazine 1,1-dioxide; 6-(Trifluoromethyl)-3,4-dihydro-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide; 6-Trifluoromethyl-3, 4-dihydro-7-sulfamoyl-2H-1,2,4-benzothiadiazine 1,1-dioxide; 6-Trifluoromethyl-3,4-dihydro-7-sulfamoyl-2H-1,2,4-benzothiadiazine 1,1-dioxide; 6-Trifluoromethyl-7-sulfamoyl-3,4-dihydro-1,2, 4-benzothiadiazine-1,1-dioxide; 6-Trifluoromethyl-7-sulfamoyl-3,4-dihydro-1,2,4-benzothiadiazine-1,1-dioxide; 6-Trifluoromethyl-7-sulfamyl-3,4-dihydro-1,2,4-benzothiadiazine-1,1-dioxide; 7-Sulfamoyl-6-tri; 7-Sulfamoyl-6-trifluoromethyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide; 7-Sulfamyl-6-trifluoromethyl-3,4-dihydro-1,2,4-benzothiadiazine 1, 1-dioxide; 7-Sulfamyl-6-trifluoromethyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide	Edema associated with congestive heart failure	428.0, 782.3	I50, R60.9
739	D05AFR	Rolitetracycline; Bristacin; Kinteto; Pyrrolidinomethyltetracycline; Reverin; Revrin; Rolitetraciclina; Rolitetracyclinum; Solvocillin; Superciclin; Synotodecin; Synterin; Syntetrex; Syntetrin; Tetraverin; Transcycline; Velacicline; Velacycline; AAT 4; SQ 15659; Pirrolidinometil-tetraciclina; Pirrolidinometil-tetraciclina [Italian]; Prm-TC; Rolitetraciclina [INN-Spanish]; Rolitetracyclinum [INN-Latin]; SQ 15,659; Synterin (TN); N-(Pyrrolidinomethyl)tetracycline; Pyrrolidino-methyl-tetracycline; N-Pyrrolidino-methyl-tetracycline; Rolitetracycline (JAN/USAN/INN); Rolitetracycline [USAN:INN:BAN:JAN]; N-(1-Pyrrolidinylmethyl)-tetracycline; (2Z,4S,4aS,5aS,6S,12aS)-4-(dimethylamino)-6,10,11,12a-tetrahydroxy-2-[hydroxy-(pyrrolidin-1-ylmethylamino)methylidene]-6-methyl-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione; (2Z,4S,4aS,6S,12aS)-4-(dimethylamino)-6,10,11,12a-tetrahydroxy-2-[hydroxy-(pyrrolidin-1-ylmethylamino)methylidene]-6-methyl-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione; (2Z,4S,6S,12aS)-4-(dimethylamino)-6,10,11,12a-tetrahydroxy-2-[hydroxy-(pyrrolidin-1-ylmethylamino)methylidene]-6-methyl-4,4a,5,5a-tetrahydrotetracene-1,3,12-trione; (4S,4aS,6S,12aS)-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-N-(pyrrolidin-1-ylmethyl)-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide; 4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-N-(1-pyrrolidinylmethyl)-2-naphthacenecarboxamide	Acne vulgaris	706.1	L70.0
740	D0K0MW	Lofexidine; Britlofex; Lofexidina; Lofexidinum; Britlofex (TN); Lofexidina [INN-Spanish]; Lofexidine (INN); Lofexidine [INN:BAN]; Lofexidinum [INN-Latin]; 1H-Imidazole, 2-(1-(2,6-dichlorophenoxy)ethyl)-4,5-dihydro-(9CI); 2-(1-(2,6-Dichlorophenoxy)ethyl)-4,5-dihydro-1H-imidazole; 2-(a-(2,6-dichlorophenoxy)ethyl)2-imidazoline; 2-(alpha-(2,6-Dichlorophenoxy)ethyl)2-imidazoline; 2-(alpha-(2,6-dichlorophenoxy)ethyl) delta-2-imidazoline; 2-[1-(2,6-dichlorophenoxy)ethyl]-4,5-dihydro-1H-imidazole; 2-{1-[(2,6-dichlorophenyl)oxy]ethyl}-4,5-dihydro-1H-imidazole	Heroin and opiate withdrawal	304	F10-F19
741	D0J5KF	Granisetron; BRL-43694; Kytril (TN); Granisetron (USAN/INN); 1-methyl-N-[(1S,5R)-9-methyl-9-azabicyclo[3.3.1]nonan-3-yl]indazole-3-carboxamide; 1-methyl-N-[(3-endo)-9-methyl-9-azabicyclo[3.3.1]non-3-yl]-1H-indazole-3-carboxamide	Nausea and vomiting associated with chemotherapy		R11
742	D0E3FD	Bromazepam; Bromazepamum; Calmepam; Compedium; Compendium; Creosedin; Durazanil; Lectopam; Lekotam; Lexaurin; Lexilium; Lexomil; Lexotan; Lexotanil; Normoc; Somalium; Ultramidol; Bromazepamum [Latin]; LA Xvii; KL 001; Ro 53350; Apo-Bromazepam; Brazepam (TN); Bromaze (TN); Bromazepam(USAN; Bromazepamum [INN-Latin]; Gen-Bromazepam; KL-001; Lectopam (TN); Lexotan (TN); Novo-bromazepam; Nu-Bromazepam; Ro 4-9253; Ro 5-3350; Bromazepam (JP15/USAN/INN); Bromazepam [USAN:INN:BAN:JAN]; 1,3-Dihydro-7-bromo-5-(2-pyridyl)-2H-1,4-benzodiazepin-2-one; 7-Bromo-1,3-dihydro-5-(2-pyridyl)-2H-1,4-benzdiazepin-2-one; 7-Bromo-1,3-dihydro-5-(2-pyridyl)-2H-1,4-benzodiazepin-2-one; 7-Bromo-5-(2-pyridyl)-3H-1,4-benzodiaxepin-2(1H)-one; 7-Bromo-5-(2-pyridyl)-3H-1,4-benzodiazepin-2(1H)-one; 7-bromo-5-pyridin-2-yl-1,3-dihydro-1,4-benzodiazepin-2-one	Anxiety disorder; Panic attacks	300	F40-F42
743	D08VXO	Brompheniramine; Bromfed; Bromfenex; Bromfeniramina; Brompheniraminum; Brotane; Parabromdylamine; BROMFED-DM; Bromfeniramina [INN-Spanish]; Brompheniramine (INN); Brompheniramine [INN:BAN]; Brompheniraminum [INN-Latin]; Brotane (TN); DIMETANE-DX; P-Bromdylamine; Para-Bromdylamine; Brompheniramine Maleate (1:1); [3-(4-Bromophenyl)-3-(2-pyridyl)propyl]dimethylamine; Gamma-(4-Bromophenyl)-N,N-dimethyl-2-pyridinepropanamine; 1-(p-Bromophenyl)-1-(2-pyridyl)-3-dimethylaminopropane; 2-(p-Bromo-alpha-(2-dimethylaminoethyl)benzyl)pyridine; 3-(4-Bromophenyl)-N,N-dimethyl-3-(2-pyridinyl)-1-propanamine; 3-(4-bromophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-amine; 3-(4-bromophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine; 3-(p-Bromophenyl)-3-(2-pyridyl)-N,N-dimethylpropylamine	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
744	D0U1OM	Bromfenac; Bromfenaco; Bromfenacum; Duract; Xibrom; BROMFENAC SODIUM; Bromfenac [INN]; Bromfenaco [Spanish]; Bromfenacum [Latin]; AHR-10282; Bromfenac (INN); Duract (TN); Xibrom (TN); Sodium 2-amino-3-(4-bromobenzoyl) phenylacetate sesquihydrate; [2-amino-3-(4-bromobenzoyl)phenyl]acetic acid; {2-amino-3-[(4-bromophenyl)carbonyl]phenyl}acetic acid; [2-Amino-3-(4-bromo-benzoyl)-phenyl]-acetic acid; 2-Amino-3-(4-bromobenzoyl)benzeneacetic acid; 2-[2-amino-3-(4-bromobenzoyl)phenyl]acetic acid	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
745	D0U1OM	Bromfenac; Bromfenaco; Bromfenacum; Duract; Xibrom; BROMFENAC SODIUM; Bromfenac [INN]; Bromfenaco [Spanish]; Bromfenacum [Latin]; AHR-10282; Bromfenac (INN); Duract (TN); Xibrom (TN); Sodium 2-amino-3-(4-bromobenzoyl) phenylacetate sesquihydrate; [2-amino-3-(4-bromobenzoyl)phenyl]acetic acid; {2-amino-3-[(4-bromophenyl)carbonyl]phenyl}acetic acid; [2-Amino-3-(4-bromo-benzoyl)-phenyl]-acetic acid; 2-Amino-3-(4-bromobenzoyl)benzeneacetic acid; 2-[2-amino-3-(4-bromobenzoyl)phenyl]acetic acid	Postoperative inflammation	998	T81
746	D00QET	Montelukast; Brondilat; Montair; Singular; Apxi toxin; MK 0476; Brondilat (TN); MK-0476; Montelukast (INN); Montelukast [INN:BAN]; Singulair (TN); Sodium 1-(((1-(3-(2-(7-chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropylacetate; {1-[({(1R)-1-{3-[(E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl}-3-[2-(1-hydroxy-1-methylethyl)phenyl]propyl}sulfanyl)methyl]cyclopropyl}acetic acid; (R-(E))-1-(((1-(3-(2-(7-Chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropaneacetic acid; 1-((((1R)-1-(3-((1E)-2-(7-Chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropaneacetic acid; 2-[1-[[(1R)-1-[3-[(E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetic acid	Asthma		J45
747	D08HUC	Isoetharine; Bronkosol; Dilabron; Etyprenaline; Etyprenalinum; Isoetarin; Isoetarina; Isoetarine; Isoetarinum; Neoisuprel; Isoetharine Hcl; Win 3406; Bronkometer (TN); Bronkosol (TN); Dey-Lute Isoetharine; Isoetarina [INN-Spanish]; Isoetarine (INN); Isoetarinum [INN-Latin]; Isoetharine (USP); Isoetharine HCl S/F; Isoetharine [USAN:BAN]; 3,4-Dihydroxy-alpha-(1-(isopropylamino)propyl)benzyl alcohol; 4-[1-hydroxy-2-(propan-2-ylamino)butyl]benzene-1,2-diol	Asthma		J45
748	D08CCE	Guaimesal; Bronteril; Brontermil; MR-693; ZAMI-635	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
749	D0E3OF	Warfarin; Brumolin; Choice; Coumadin; Coumafen; Coumafene; Coumaphen; Coumaphene; Coumarins; Coumefene; Dethmor; Dethnel; Kumader; Kumadu; Kumatox; Kypfarin; Maveran; Panwarfin; Prothromadin; RAX; Ratorex; Ratoxin; Ratron; Rattentraenke; Rattunal; Rodafarin; Rosex; Sofarin; Solfarin; Warfarat; Warfarina; Warfarine; Warfarinum; Warficide; Zoocoumarin; Arab Rat Death; Arab rat deth; Coumafene [French]; Dicusat E; Eastern states duocide; Fasco fascrat powder; Maag Rattentod Cum; Mouse pak; Ratron G; Rattenstreupulver Neu Schacht; Rattenstreupulver new schacht; Rodafarin C; Rodex blox; Sorexa plus; Temus W; Twin light rat away; Vampirinip II; Vampirinip iii; Warfarin Q; Warfarin plus; Warfarin plus [discontinued]; Zoocoumarin [Netherlands and USSR]; Zoocoumarin [Russian]; CBKinase1_000192; CBKinase1_012592; Latka 42; Latka 42 [Czech]; PS104_SUPELCO; WARF compound 42; Warf 10; Warf 42; Athrombine-K; CO-Rax; Choice (TN); Coumadin (TN); D-Con; Frass-Ratron; Jantoven (TN); Liqua-tox; Mar-Frin; Marevan (TN); Place-pax; Rac-Warfarin; Rat & mice bait; Rat-Gard; Rat-Kill; Rat-Mix; Rat-Ola; Rat-Trol; Ratten-Koederrohr; Ro-Deth; Rough & ready mouse mix; Tox-hid; Waran (TN); Warfarin (INN); Warfarin (and salts of); Warfarin [BSI:ISO]; Warfarin [INN:BAN]; Warfarin(R); Warfarina [INN-Spanish]; Warfarine [INN-French]; Warfarine [ISO-French]; Warfarinum [INN-Latin]; Cov-R-Tox; Martin's mar-frin; Rat-B-gon; Rat-a-way; Rats-no-more; Spray-trol brand roden-trol; Rat-o-cide #2; Warfarin titrated to an INR of 2.5-3.0; W.A.R.F. 42; (-)-Warfarin; (S)-Warfarin; 200 coumarin	Atrial fibrillation	272, 427.31	E78, I48
